ScalaNativeKind(class scala.meta.Mod$Protected$ModProtectedImpl),2624
ScalaNativeKind(class scala.meta.Defn$Trait$DefnTraitImpl),2494
ScalaNativeKind(class scala.meta.Mod$Private$ModPrivateImpl),2148
ScalaNativeKind(class scala.meta.Mod$ValParam$ModValParamImpl),1884
ScalaNativeKind(class scala.meta.Defn$Var$DefnVarImpl),1712
ScalaNativeKind(class scala.meta.Mod$Lazy$ModLazyImpl),1641
ScalaNativeKind(class scala.meta.Mod$Final$ModFinalImpl),1565
ScalaNativeKind(class scala.meta.Type$Placeholder$TypePlaceholderImpl),1499
ScalaNativeKind(class scala.meta.Term$Throw$TermThrowImpl),1327
ScalaNativeKind(class scala.meta.Type$Singleton$TypeSingletonImpl),1185
ScalaNativeKind(class scala.meta.Type$Bounds$TypeBoundsImpl),954
ScalaNativeKind(class scala.meta.Pat$ExtractInfix$PatExtractInfixImpl),900
org.sonarsource.scala.converter.ScalaConverter$ScalaForConditionKind$@5717c37,867
ScalaNativeKind(class scala.meta.Term$ForYield$TermForYieldImpl),800
ScalaNativeKind(class scala.meta.Term$Super$TermSuperImpl),739
ScalaNativeKind(class scala.meta.Mod$Abstract$ModAbstractImpl),709
ScalaNativeKind(class scala.meta.Mod$Sealed$ModSealedImpl),706
ScalaNativeKind(class scala.meta.Defn$Type$DefnTypeImpl),702
ScalaNativeKind(class scala.meta.Term$Repeated$TermRepeatedImpl),662
ScalaNativeKind(class scala.meta.Importee$Rename$ImporteeRenameImpl),598
ScalaNativeKind(class scala.meta.Type$ByName$TypeByNameImpl),577
org.sonarsource.scala.converter.ScalaConverter$ScalaCatchBlockKind$@17d919b6,566
ScalaNativeKind(class scala.meta.Term$Match$TermMatchImpl),554
ScalaNativeKind(class scala.meta.Pat$Bind$PatBindImpl),528
ScalaNativeKind(class scala.meta.Type$Repeated$TypeRepeatedImpl),508
ScalaNativeKind(class scala.meta.Type$ApplyInfix$TypeApplyInfixImpl),466
ScalaNativeKind(class scala.meta.Decl$Val$DeclValImpl),442
ScalaNativeKind(class scala.meta.Self$SelfImpl),412
ScalaNativeKind(class scala.meta.Term$Eta$TermEtaImpl),384
ScalaNativeKind(class scala.meta.Pat$Alternative$PatAlternativeImpl),384
ScalaNativeKind(class scala.meta.Term$Ascribe$TermAscribeImpl),369
ScalaNativeKind(class scala.meta.Type$With$TypeWithImpl),361
ScalaNativeKind(class scala.meta.Ctor$Secondary$CtorSecondaryImpl),332
ScalaNativeKind(class scala.meta.Term$ApplyUnary$TermApplyUnaryImpl),232
ScalaNativeKind(class scala.meta.Enumerator$Val$EnumeratorValImpl),204
ScalaNativeKind(class scala.meta.Pkg$Object$PkgObjectImpl),165
ScalaNativeKind(class scala.meta.Pat$Interpolate$PatInterpolateImpl),148
ScalaNativeKind(class scala.meta.Mod$Covariant$ModCovariantImpl),134
ScalaNativeKind(class scala.meta.Decl$Type$DeclTypeImpl),111
ScalaNativeKind(class scala.meta.Pat$SeqWildcard$PatSeqWildcardImpl),108
ScalaNativeKind(class scala.meta.Enumerator$Guard$EnumeratorGuardImpl),103
ScalaNativeKind(class scala.meta.Importee$Unimport$ImporteeUnimportImpl),99
ScalaNativeKind(class scala.meta.Type$Refine$TypeRefineImpl),82
ScalaNativeKind(class scala.meta.Mod$VarParam$ModVarParamImpl),66
ScalaNativeKind(class scala.meta.Mod$Contravariant$ModContravariantImpl),60
ScalaNativeKind(class scala.meta.Defn$Macro$DefnMacroImpl),33
ScalaNativeKind(class scala.meta.Type$Project$TypeProjectImpl),30
ScalaNativeKind(class scala.meta.Term$Xml$TermXmlImpl),26
ScalaNativeKind(class scala.meta.Type$Annotate$TypeAnnotateImpl),12
ScalaNativeKind(class scala.meta.Decl$Var$DeclVarImpl),5
ScalaNativeKind(class scala.meta.Term$Annotate$TermAnnotateImpl),5
ScalaNativeKind(class scala.meta.Type$Existential$TypeExistentialImpl),3
ScalaNativeKind(class scala.meta.Type$Var$TypeVarImpl),1
